bizCloud,magentoCode,attribute_id
cat_name_admin,name|0,41
cat_name_default,name|1,41
cat_name_dk_storeview,name|2,41
cat_name_eu_storeview,name|3,41
cat_name_se_storeview,name|4,41
cat_name_uk_storeview,name|5,41
cat_is_active_admin,is_active|0,42
cat_is_active_default,is_active|1,42
cat_is_active_dk_storeview,is_active|2,42
cat_is_active_eu_storeview,is_active|3,42
cat_is_active_se_storeview,is_active|4,42
cat_is_active_uk_storeview,is_active|5,42
cat_url_key_admin,url_key|0,43
cat_url_key_default,url_key|1,43
cat_url_key_dk_storeview,url_key|2,43
cat_url_key_eu_storeview,url_key|3,43
cat_url_key_se_storeview,url_key|4,43
cat_url_key_uk_storeview,url_key|5,43
cat_description_admin,description|0,44
cat_description_default,description|1,44
cat_description_dk_storeview,description|2,44
cat_description_eu_storeview,description|3,44
cat_description_se_storeview,description|4,44
cat_description_uk_storeview,description|5,44
cat_image_admin,image|0,45
cat_image_default,image|1,45
cat_image_dk_storeview,image|2,45
cat_image_eu_storeview,image|3,45
cat_image_se_storeview,image|4,45
cat_image_uk_storeview,image|5,45
cat_meta_title_admin,meta_title|0,46
cat_meta_title_default,meta_title|1,46
cat_meta_title_dk_storeview,meta_title|2,46
cat_meta_title_eu_storeview,meta_title|3,46
cat_meta_title_se_storeview,meta_title|4,46
cat_meta_title_uk_storeview,meta_title|5,46
cat_meta_keywords_admin,meta_keywords|0,47
cat_meta_keywords_default,meta_keywords|1,47
cat_meta_keywords_dk_storeview,meta_keywords|2,47
cat_meta_keywords_eu_storeview,meta_keywords|3,47
cat_meta_keywords_se_storeview,meta_keywords|4,47
cat_meta_keywords_uk_storeview,meta_keywords|5,47
cat_meta_description_admin,meta_description|0,48
cat_meta_description_default,meta_description|1,48
cat_meta_description_dk_storeview,meta_description|2,48
cat_meta_description_eu_storeview,meta_description|3,48
cat_meta_description_se_storeview,meta_description|4,48
cat_meta_description_uk_storeview,meta_description|5,48
cat_display_mode_admin,display_mode|0,49
cat_display_mode_default,display_mode|1,49
cat_display_mode_dk_storeview,display_mode|2,49
cat_display_mode_eu_storeview,display_mode|3,49
cat_display_mode_se_storeview,display_mode|4,49
cat_display_mode_uk_storeview,display_mode|5,49
cat_landing_page_admin,landing_page|0,50
cat_landing_page_default,landing_page|1,50
cat_landing_page_dk_storeview,landing_page|2,50
cat_landing_page_eu_storeview,landing_page|3,50
cat_landing_page_se_storeview,landing_page|4,50
cat_landing_page_uk_storeview,landing_page|5,50
cat_is_anchor_admin,is_anchor|0,51
cat_is_anchor_default,is_anchor|1,51
cat_is_anchor_dk_storeview,is_anchor|2,51
cat_is_anchor_eu_storeview,is_anchor|3,51
cat_is_anchor_se_storeview,is_anchor|4,51
cat_is_anchor_uk_storeview,is_anchor|5,51
cat_all_children_admin,all_children|0,54
cat_all_children_default,all_children|1,54
cat_all_children_dk_storeview,all_children|2,54
cat_all_children_eu_storeview,all_children|3,54
cat_all_children_se_storeview,all_children|4,54
cat_all_children_uk_storeview,all_children|5,54
cat_path_in_store_admin,path_in_store|0,55
cat_path_in_store_default,path_in_store|1,55
cat_path_in_store_dk_storeview,path_in_store|2,55
cat_path_in_store_eu_storeview,path_in_store|3,55
cat_path_in_store_se_storeview,path_in_store|4,55
cat_path_in_store_uk_storeview,path_in_store|5,55
cat_children_admin,children|0,56
cat_children_default,children|1,56
cat_children_dk_storeview,children|2,56
cat_children_eu_storeview,children|3,56
cat_children_se_storeview,children|4,56
cat_children_uk_storeview,children|5,56
cat_url_path_admin,url_path|0,57
cat_url_path_default,url_path|1,57
cat_url_path_dk_storeview,url_path|2,57
cat_url_path_eu_storeview,url_path|3,57
cat_url_path_se_storeview,url_path|4,57
cat_url_path_uk_storeview,url_path|5,57
cat_custom_design_admin,custom_design|0,58
cat_custom_design_default,custom_design|1,58
cat_custom_design_dk_storeview,custom_design|2,58
cat_custom_design_eu_storeview,custom_design|3,58
cat_custom_design_se_storeview,custom_design|4,58
cat_custom_design_uk_storeview,custom_design|5,58
cat_custom_design_from_admin,custom_design_from|0,59
cat_custom_design_from_default,custom_design_from|1,59
cat_custom_design_from_dk_storeview,custom_design_from|2,59
cat_custom_design_from_eu_storeview,custom_design_from|3,59
cat_custom_design_from_se_storeview,custom_design_from|4,59
cat_custom_design_from_uk_storeview,custom_design_from|5,59
cat_custom_design_to_admin,custom_design_to|0,60
cat_custom_design_to_default,custom_design_to|1,60
cat_custom_design_to_dk_storeview,custom_design_to|2,60
cat_custom_design_to_eu_storeview,custom_design_to|3,60
cat_custom_design_to_se_storeview,custom_design_to|4,60
cat_custom_design_to_uk_storeview,custom_design_to|5,60
cat_page_layout_admin,page_layout|0,61
cat_page_layout_default,page_layout|1,61
cat_page_layout_dk_storeview,page_layout|2,61
cat_page_layout_eu_storeview,page_layout|3,61
cat_page_layout_se_storeview,page_layout|4,61
cat_page_layout_uk_storeview,page_layout|5,61
cat_custom_layout_update_admin,custom_layout_update|0,62
cat_custom_layout_update_default,custom_layout_update|1,62
cat_custom_layout_update_dk_storeview,custom_layout_update|2,62
cat_custom_layout_update_eu_storeview,custom_layout_update|3,62
cat_custom_layout_update_se_storeview,custom_layout_update|4,62
cat_custom_layout_update_uk_storeview,custom_layout_update|5,62
cat_available_sort_by_admin,available_sort_by|0,65
cat_available_sort_by_default,available_sort_by|1,65
cat_available_sort_by_dk_storeview,available_sort_by|2,65
cat_available_sort_by_eu_storeview,available_sort_by|3,65
cat_available_sort_by_se_storeview,available_sort_by|4,65
cat_available_sort_by_uk_storeview,available_sort_by|5,65
cat_default_sort_by_admin,default_sort_by|0,66
cat_default_sort_by_default,default_sort_by|1,66
cat_default_sort_by_dk_storeview,default_sort_by|2,66
cat_default_sort_by_eu_storeview,default_sort_by|3,66
cat_default_sort_by_se_storeview,default_sort_by|4,66
cat_default_sort_by_uk_storeview,default_sort_by|5,66
cat_include_in_menu_admin,include_in_menu|0,67
cat_include_in_menu_default,include_in_menu|1,67
cat_include_in_menu_dk_storeview,include_in_menu|2,67
cat_include_in_menu_eu_storeview,include_in_menu|3,67
cat_include_in_menu_se_storeview,include_in_menu|4,67
cat_include_in_menu_uk_storeview,include_in_menu|5,67
cat_custom_use_parent_settings_admin,custom_use_parent_settings|0,68
cat_custom_use_parent_settings_default,custom_use_parent_settings|1,68
cat_custom_use_parent_settings_dk_storeview,custom_use_parent_settings|2,68
cat_custom_use_parent_settings_eu_storeview,custom_use_parent_settings|3,68
cat_custom_use_parent_settings_se_storeview,custom_use_parent_settings|4,68
cat_custom_use_parent_settings_uk_storeview,custom_use_parent_settings|5,68
cat_custom_apply_to_products_admin,custom_apply_to_products|0,69
cat_custom_apply_to_products_default,custom_apply_to_products|1,69
cat_custom_apply_to_products_dk_storeview,custom_apply_to_products|2,69
cat_custom_apply_to_products_eu_storeview,custom_apply_to_products|3,69
cat_custom_apply_to_products_se_storeview,custom_apply_to_products|4,69
cat_custom_apply_to_products_uk_storeview,custom_apply_to_products|5,69
cat_filter_price_range_admin,filter_price_range|0,70
cat_filter_price_range_default,filter_price_range|1,70
cat_filter_price_range_dk_storeview,filter_price_range|2,70
cat_filter_price_range_eu_storeview,filter_price_range|3,70
cat_filter_price_range_se_storeview,filter_price_range|4,70
cat_filter_price_range_uk_storeview,filter_price_range|5,70
cat_path,path,52
cat_position,position,53
cat_level,level,63
cat_children_count,children_count,64
