bizCloud,magentoCode,attribute_id
prod_name_admin,name|0,71
prod_name_default,name|1,71
prod_name_dk_storeview,name|2,71
prod_name_eu_storeview,name|3,71
prod_name_se_storeview,name|4,71
prod_name_uk_storeview,name|5,71
prod_description_admin,description|0,72
prod_description_default,description|1,72
prod_description_dk_storeview,description|2,72
prod_description_eu_storeview,description|3,72
prod_description_se_storeview,description|4,72
prod_description_uk_storeview,description|5,72
prod_short_description_admin,short_description|0,73
prod_short_description_default,short_description|1,73
prod_short_description_dk_storeview,short_description|2,73
prod_short_description_eu_storeview,short_description|3,73
prod_short_description_se_storeview,short_description|4,73
prod_short_description_uk_storeview,short_description|5,73
prod_price_admin,price|0,75
prod_price_default,price|1,75
prod_price_dk_storeview,price|2,75
prod_price_eu_storeview,price|3,75
prod_price_se_storeview,price|4,75
prod_price_uk_storeview,price|5,75
prod_special_price_admin,special_price|0,76
prod_special_price_default,special_price|1,76
prod_special_price_dk_storeview,special_price|2,76
prod_special_price_eu_storeview,special_price|3,76
prod_special_price_se_storeview,special_price|4,76
prod_special_price_uk_storeview,special_price|5,76
prod_special_from_date_admin,special_from_date|0,77
prod_special_from_date_default,special_from_date|1,77
prod_special_from_date_dk_storeview,special_from_date|2,77
prod_special_from_date_eu_storeview,special_from_date|3,77
prod_special_from_date_se_storeview,special_from_date|4,77
prod_special_from_date_uk_storeview,special_from_date|5,77
prod_special_to_date_admin,special_to_date|0,78
prod_special_to_date_default,special_to_date|1,78
prod_special_to_date_dk_storeview,special_to_date|2,78
prod_special_to_date_eu_storeview,special_to_date|3,78
prod_special_to_date_se_storeview,special_to_date|4,78
prod_special_to_date_uk_storeview,special_to_date|5,78
prod_cost_admin,cost|0,79
prod_cost_default,cost|1,79
prod_cost_dk_storeview,cost|2,79
prod_cost_eu_storeview,cost|3,79
prod_cost_se_storeview,cost|4,79
prod_cost_uk_storeview,cost|5,79
prod_weight_admin,weight|0,80
prod_weight_default,weight|1,80
prod_weight_dk_storeview,weight|2,80
prod_weight_eu_storeview,weight|3,80
prod_weight_se_storeview,weight|4,80
prod_weight_uk_storeview,weight|5,80
prod_manufacturer_admin,manufacturer|0,81
prod_manufacturer_default,manufacturer|1,81
prod_manufacturer_dk_storeview,manufacturer|2,81
prod_manufacturer_eu_storeview,manufacturer|3,81
prod_manufacturer_se_storeview,manufacturer|4,81
prod_manufacturer_uk_storeview,manufacturer|5,81
prod_meta_title_admin,meta_title|0,82
prod_meta_title_default,meta_title|1,82
prod_meta_title_dk_storeview,meta_title|2,82
prod_meta_title_eu_storeview,meta_title|3,82
prod_meta_title_se_storeview,meta_title|4,82
prod_meta_title_uk_storeview,meta_title|5,82
prod_meta_keyword_admin,meta_keyword|0,83
prod_meta_keyword_default,meta_keyword|1,83
prod_meta_keyword_dk_storeview,meta_keyword|2,83
prod_meta_keyword_eu_storeview,meta_keyword|3,83
prod_meta_keyword_se_storeview,meta_keyword|4,83
prod_meta_keyword_uk_storeview,meta_keyword|5,83
prod_meta_description_admin,meta_description|0,84
prod_meta_description_default,meta_description|1,84
prod_meta_description_dk_storeview,meta_description|2,84
prod_meta_description_eu_storeview,meta_description|3,84
prod_meta_description_se_storeview,meta_description|4,84
prod_meta_description_uk_storeview,meta_description|5,84
prod_image_admin,image|0,85
prod_image_default,image|1,85
prod_image_dk_storeview,image|2,85
prod_image_eu_storeview,image|3,85
prod_image_se_storeview,image|4,85
prod_image_uk_storeview,image|5,85
prod_small_image_admin,small_image|0,86
prod_small_image_default,small_image|1,86
prod_small_image_dk_storeview,small_image|2,86
prod_small_image_eu_storeview,small_image|3,86
prod_small_image_se_storeview,small_image|4,86
prod_small_image_uk_storeview,small_image|5,86
prod_thumbnail_admin,thumbnail|0,87
prod_thumbnail_default,thumbnail|1,87
prod_thumbnail_dk_storeview,thumbnail|2,87
prod_thumbnail_eu_storeview,thumbnail|3,87
prod_thumbnail_se_storeview,thumbnail|4,87
prod_thumbnail_uk_storeview,thumbnail|5,87
prod_media_gallery_admin,media_gallery|0,88
prod_media_gallery_default,media_gallery|1,88
prod_media_gallery_dk_storeview,media_gallery|2,88
prod_media_gallery_eu_storeview,media_gallery|3,88
prod_media_gallery_se_storeview,media_gallery|4,88
prod_media_gallery_uk_storeview,media_gallery|5,88
prod_old_id_admin,old_id|0,89
prod_old_id_default,old_id|1,89
prod_old_id_dk_storeview,old_id|2,89
prod_old_id_eu_storeview,old_id|3,89
prod_old_id_se_storeview,old_id|4,89
prod_old_id_uk_storeview,old_id|5,89
prod_group_price_admin,group_price|0,90
prod_group_price_default,group_price|1,90
prod_group_price_dk_storeview,group_price|2,90
prod_group_price_eu_storeview,group_price|3,90
prod_group_price_se_storeview,group_price|4,90
prod_group_price_uk_storeview,group_price|5,90
prod_tier_price_admin,tier_price|0,91
prod_tier_price_default,tier_price|1,91
prod_tier_price_dk_storeview,tier_price|2,91
prod_tier_price_eu_storeview,tier_price|3,91
prod_tier_price_se_storeview,tier_price|4,91
prod_tier_price_uk_storeview,tier_price|5,91
prod_color_admin,color|0,92
prod_color_default,color|1,92
prod_color_dk_storeview,color|2,92
prod_color_eu_storeview,color|3,92
prod_color_se_storeview,color|4,92
prod_color_uk_storeview,color|5,92
prod_news_from_date_admin,news_from_date|0,93
prod_news_from_date_default,news_from_date|1,93
prod_news_from_date_dk_storeview,news_from_date|2,93
prod_news_from_date_eu_storeview,news_from_date|3,93
prod_news_from_date_se_storeview,news_from_date|4,93
prod_news_from_date_uk_storeview,news_from_date|5,93
prod_news_to_date_admin,news_to_date|0,94
prod_news_to_date_default,news_to_date|1,94
prod_news_to_date_dk_storeview,news_to_date|2,94
prod_news_to_date_eu_storeview,news_to_date|3,94
prod_news_to_date_se_storeview,news_to_date|4,94
prod_news_to_date_uk_storeview,news_to_date|5,94
prod_gallery_admin,gallery|0,95
prod_gallery_default,gallery|1,95
prod_gallery_dk_storeview,gallery|2,95
prod_gallery_eu_storeview,gallery|3,95
prod_gallery_se_storeview,gallery|4,95
prod_gallery_uk_storeview,gallery|5,95
prod_status_admin,status|0,96
prod_status_default,status|1,96
prod_status_dk_storeview,status|2,96
prod_status_eu_storeview,status|3,96
prod_status_se_storeview,status|4,96
prod_status_uk_storeview,status|5,96
prod_url_key_admin,url_key|0,97
prod_url_key_default,url_key|1,97
prod_url_key_dk_storeview,url_key|2,97
prod_url_key_eu_storeview,url_key|3,97
prod_url_key_se_storeview,url_key|4,97
prod_url_key_uk_storeview,url_key|5,97
prod_url_path_admin,url_path|0,98
prod_url_path_default,url_path|1,98
prod_url_path_dk_storeview,url_path|2,98
prod_url_path_eu_storeview,url_path|3,98
prod_url_path_se_storeview,url_path|4,98
prod_url_path_uk_storeview,url_path|5,98
prod_minimal_price_admin,minimal_price|0,99
prod_minimal_price_default,minimal_price|1,99
prod_minimal_price_dk_storeview,minimal_price|2,99
prod_minimal_price_eu_storeview,minimal_price|3,99
prod_minimal_price_se_storeview,minimal_price|4,99
prod_minimal_price_uk_storeview,minimal_price|5,99
prod_is_recurring_admin,is_recurring|0,100
prod_is_recurring_default,is_recurring|1,100
prod_is_recurring_dk_storeview,is_recurring|2,100
prod_is_recurring_eu_storeview,is_recurring|3,100
prod_is_recurring_se_storeview,is_recurring|4,100
prod_is_recurring_uk_storeview,is_recurring|5,100
prod_recurring_profile_admin,recurring_profile|0,101
prod_recurring_profile_default,recurring_profile|1,101
prod_recurring_profile_dk_storeview,recurring_profile|2,101
prod_recurring_profile_eu_storeview,recurring_profile|3,101
prod_recurring_profile_se_storeview,recurring_profile|4,101
prod_recurring_profile_uk_storeview,recurring_profile|5,101
prod_visibility_admin,visibility|0,102
prod_visibility_default,visibility|1,102
prod_visibility_dk_storeview,visibility|2,102
prod_visibility_eu_storeview,visibility|3,102
prod_visibility_se_storeview,visibility|4,102
prod_visibility_uk_storeview,visibility|5,102
prod_custom_design_admin,custom_design|0,103
prod_custom_design_default,custom_design|1,103
prod_custom_design_dk_storeview,custom_design|2,103
prod_custom_design_eu_storeview,custom_design|3,103
prod_custom_design_se_storeview,custom_design|4,103
prod_custom_design_uk_storeview,custom_design|5,103
prod_custom_design_from_admin,custom_design_from|0,104
prod_custom_design_from_default,custom_design_from|1,104
prod_custom_design_from_dk_storeview,custom_design_from|2,104
prod_custom_design_from_eu_storeview,custom_design_from|3,104
prod_custom_design_from_se_storeview,custom_design_from|4,104
prod_custom_design_from_uk_storeview,custom_design_from|5,104
prod_custom_design_to_admin,custom_design_to|0,105
prod_custom_design_to_default,custom_design_to|1,105
prod_custom_design_to_dk_storeview,custom_design_to|2,105
prod_custom_design_to_eu_storeview,custom_design_to|3,105
prod_custom_design_to_se_storeview,custom_design_to|4,105
prod_custom_design_to_uk_storeview,custom_design_to|5,105
prod_custom_layout_update_admin,custom_layout_update|0,106
prod_custom_layout_update_default,custom_layout_update|1,106
prod_custom_layout_update_dk_storeview,custom_layout_update|2,106
prod_custom_layout_update_eu_storeview,custom_layout_update|3,106
prod_custom_layout_update_se_storeview,custom_layout_update|4,106
prod_custom_layout_update_uk_storeview,custom_layout_update|5,106
prod_page_layout_admin,page_layout|0,107
prod_page_layout_default,page_layout|1,107
prod_page_layout_dk_storeview,page_layout|2,107
prod_page_layout_eu_storeview,page_layout|3,107
prod_page_layout_se_storeview,page_layout|4,107
prod_page_layout_uk_storeview,page_layout|5,107
prod_options_container_admin,options_container|0,109
prod_options_container_default,options_container|1,109
prod_options_container_dk_storeview,options_container|2,109
prod_options_container_eu_storeview,options_container|3,109
prod_options_container_se_storeview,options_container|4,109
prod_options_container_uk_storeview,options_container|5,109
prod_image_label_admin,image_label|0,112
prod_image_label_default,image_label|1,112
prod_image_label_dk_storeview,image_label|2,112
prod_image_label_eu_storeview,image_label|3,112
prod_image_label_se_storeview,image_label|4,112
prod_image_label_uk_storeview,image_label|5,112
prod_small_image_label_admin,small_image_label|0,113
prod_small_image_label_default,small_image_label|1,113
prod_small_image_label_dk_storeview,small_image_label|2,113
prod_small_image_label_eu_storeview,small_image_label|3,113
prod_small_image_label_se_storeview,small_image_label|4,113
prod_small_image_label_uk_storeview,small_image_label|5,113
prod_thumbnail_label_admin,thumbnail_label|0,114
prod_thumbnail_label_default,thumbnail_label|1,114
prod_thumbnail_label_dk_storeview,thumbnail_label|2,114
prod_thumbnail_label_eu_storeview,thumbnail_label|3,114
prod_thumbnail_label_se_storeview,thumbnail_label|4,114
prod_thumbnail_label_uk_storeview,thumbnail_label|5,114
prod_country_of_manufacture_admin,country_of_manufacture|0,117
prod_country_of_manufacture_default,country_of_manufacture|1,117
prod_country_of_manufacture_dk_storeview,country_of_manufacture|2,117
prod_country_of_manufacture_eu_storeview,country_of_manufacture|3,117
prod_country_of_manufacture_se_storeview,country_of_manufacture|4,117
prod_country_of_manufacture_uk_storeview,country_of_manufacture|5,117
prod_msrp_enabled_admin,msrp_enabled|0,118
prod_msrp_enabled_default,msrp_enabled|1,118
prod_msrp_enabled_dk_storeview,msrp_enabled|2,118
prod_msrp_enabled_eu_storeview,msrp_enabled|3,118
prod_msrp_enabled_se_storeview,msrp_enabled|4,118
prod_msrp_enabled_uk_storeview,msrp_enabled|5,118
prod_msrp_display_actual_price_type_admin,msrp_display_actual_price_type|0,119
prod_msrp_display_actual_price_type_default,msrp_display_actual_price_type|1,119
prod_msrp_display_actual_price_type_dk_storeview,msrp_display_actual_price_type|2,119
prod_msrp_display_actual_price_type_eu_storeview,msrp_display_actual_price_type|3,119
prod_msrp_display_actual_price_type_se_storeview,msrp_display_actual_price_type|4,119
prod_msrp_display_actual_price_type_uk_storeview,msrp_display_actual_price_type|5,119
prod_msrp_admin,msrp|0,120
prod_msrp_default,msrp|1,120
prod_msrp_dk_storeview,msrp|2,120
prod_msrp_eu_storeview,msrp|3,120
prod_msrp_se_storeview,msrp|4,120
prod_msrp_uk_storeview,msrp|5,120
prod_tax_class_id_admin,tax_class_id|0,121
prod_tax_class_id_default,tax_class_id|1,121
prod_tax_class_id_dk_storeview,tax_class_id|2,121
prod_tax_class_id_eu_storeview,tax_class_id|3,121
prod_tax_class_id_se_storeview,tax_class_id|4,121
prod_tax_class_id_uk_storeview,tax_class_id|5,121
prod_gift_message_available_admin,gift_message_available|0,122
prod_gift_message_available_default,gift_message_available|1,122
prod_gift_message_available_dk_storeview,gift_message_available|2,122
prod_gift_message_available_eu_storeview,gift_message_available|3,122
prod_gift_message_available_se_storeview,gift_message_available|4,122
prod_gift_message_available_uk_storeview,gift_message_available|5,122
prod_price_type_admin,price_type|0,123
prod_price_type_default,price_type|1,123
prod_price_type_dk_storeview,price_type|2,123
prod_price_type_eu_storeview,price_type|3,123
prod_price_type_se_storeview,price_type|4,123
prod_price_type_uk_storeview,price_type|5,123
prod_sku_type_admin,sku_type|0,124
prod_sku_type_default,sku_type|1,124
prod_sku_type_dk_storeview,sku_type|2,124
prod_sku_type_eu_storeview,sku_type|3,124
prod_sku_type_se_storeview,sku_type|4,124
prod_sku_type_uk_storeview,sku_type|5,124
prod_weight_type_admin,weight_type|0,125
prod_weight_type_default,weight_type|1,125
prod_weight_type_dk_storeview,weight_type|2,125
prod_weight_type_eu_storeview,weight_type|3,125
prod_weight_type_se_storeview,weight_type|4,125
prod_weight_type_uk_storeview,weight_type|5,125
prod_price_view_admin,price_view|0,126
prod_price_view_default,price_view|1,126
prod_price_view_dk_storeview,price_view|2,126
prod_price_view_eu_storeview,price_view|3,126
prod_price_view_se_storeview,price_view|4,126
